,Date,Open,High,Low,Close*,Adj Close**,Volume
4470,"Jul 09, 2003",86.10,86.35,84.85,85.47,54.61,6709700
4471,"Jul 08, 2003",86.09,86.75,85.19,86.25,55.11,5873900
4472,"Jul 07, 2003",84.80,86.45,84.74,86.09,55.01,7614900
4473,"Jul 03, 2003",84.25,84.69,83.48,83.95,53.64,3009500
4474,"Jul 02, 2003",83.95,84.89,83.75,84.74,54.14,6009700
4475,"Jul 01, 2003",81.40,83.66,81.40,83.59,53.41,5785800
4476,"Jun 30, 2003",83.90,84.20,82.50,82.50,52.71,7950900
4477,"Jun 27, 2003",84.15,84.65,83.22,83.42,53.30,4532900
4478,"Jun 26, 2003",83.70,84.38,82.82,84.35,53.90,6374400
4479,"Jun 25, 2003",83.55,84.16,82.09,82.49,52.71,5548000
4480,"Jun 24, 2003",82.95,84.18,82.85,83.63,53.44,5062800
4481,"Jun 23, 2003",84.79,84.79,82.97,83.18,53.15,6311600
4482,"Jun 20, 2003",85.00,85.24,84.69,84.92,54.26,11900000
4483,"Jun 19, 2003",84.95,85.29,84.50,84.55,54.02,7277100
4484,"Jun 18, 2003",84.15,84.99,83.22,84.70,54.12,5941400
4485,"Jun 17, 2003",84.95,84.95,83.80,84.30,53.86,5873700
4486,"Jun 16, 2003",83.10,84.55,82.55,84.50,53.99,6492100
4487,"Jun 13, 2003",84.15,84.29,82.51,82.75,52.87,5727500
4488,"Jun 12, 2003",84.80,84.98,83.55,83.95,53.64,7072400
4489,"Jun 11, 2003",82.75,84.15,82.29,83.97,53.65,9815800
4490,"Jun 10, 2003",82.35,82.92,81.21,81.71,52.21,8896000
4491,"Jun 09, 2003",80.00,82.00,79.81,82.00,52.39,9756300
4492,"Jun 06, 2003",82.25,83.23,79.84,80.05,51.15,15160900
4493,"Jun 05, 2003",84.00,84.25,81.75,81.90,52.33,15256300
4494,"Jun 04, 2003",84.00,84.96,83.83,84.25,53.83,10734400
4495,"Jun 03, 2003",84.32,85.24,83.24,83.82,53.56,21106600
